country,food_insecurity_14_21,population_change_14_21,percent_rural_21,agriculture_land_per_capita_14_20,productivity_14_19,GPD_per_cap_14_21,Climate_risk_18,political_stability_14_21,digital_adoption_14_16
Afghanistan,0.566,0.225675651,0.715072511,1.057637182,1158.377967,519.9032297,36,-2.638588548,0.322911218
Albania,0.363666667,-0.01019104,0.381995719,0.407725787,5141.013935,4961.927819,108,0.279239645,0.57589367
Algeria,0.197166667,0.139777542,0.256178708,1.002546884,17874.18626,4129.701715,93.83,-0.986400113,0.400328591
American Samoa,,-0.137541414,0.159253914,0.087801852,,13650.32478,,1.160801202,
Andorra,,0.103503162,0.118721057,0.249676465,,41088.50473,,1.472605407,0.615941882
Angola,0.7195,0.271872065,0.319655641,1.834073387,1821.257959,2542.488485,76,-0.431268159,0.325789198
Antigua and Barbuda,0.33,0.044634452,0.860897457,0.098701499,,15906.94488,125,0.913320191,0.469328508
Armenia,0.13825,-0.03424166,0.385211041,0.591039193,5094.725287,4262.266048,125,-0.535910439,0.614652663
Australia,0.121333333,0.104454792,0.135214844,14.83942817,96606.53775,55918.54349,49.5,0.933046676,0.69859919
Austria,0.041666667,0.043998724,0.404474202,0.307124578,25670.55631,49087.8542,56,1.002129197,0.838295072
Azerbaijan,0.083666667,0.058624413,0.426626434,0.476555245,2016.717325,5072.869504,125,-0.740810774,0.572098911
Bahamas,0.172,0.048248533,0.16742828,0.035149617,20040.09211,29434.22457,,0.903788552,
Bahrain,,0.116030093,0.123710333,0.006218238,12147.83504,24603.39351,125,-0.792096108,0.772202402
Bangladesh,0.317833333,0.085886384,0.618269112,0.059094458,1166.068815,1824.601538,85.5,-1.055861145,0.340050489
Barbados,0.311,0.013358896,0.704334993,0.039403106,,17524.80688,125,1.071252123,0.608014554
Belarus,,-0.011922335,0.197104519,0.877103259,7442.705548,6522.080003,111.83,-0.071685861,0.560868949
Belgium,0.0425,0.038892974,0.018925852,0.118318335,54469.23079,45741.49313,81.83,0.523758654,0.770685047
Belize,0.39,0.135371167,0.545697708,0.442039975,7377.779714,6028.142581,125,0.154082145,0.390073314
Benin,0.6405,0.224407537,0.488788899,0.338019572,1959.456739,1170.095011,88,-0.154774326,0.217191279
Bermuda,,0.013100781,0,0.004704606,,108783.2359,,1.01620996,
Bhutan,,0.055854701,0.618790563,0.686801583,1533.474168,3024.593746,125,1.05699937,0.411815792
Bolivia (Plurinational State of),,0.106484051,0.28616466,3.290858313,2380.939486,3206.127443,,-0.365508875,
